from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S002,654,769,0.5565917581,0.5610852645,162.7139435
O01,S002,653,769,0.5610852645,0.5655787708,167.237915
O01,S002,652,769,0.5655787708,0.5659192994,168.4763336
O01,S002,652,770,0.5659192994,0.5700722772,166.8900909
O01,S002,651,770,0.5700722772,0.5745657835,166.6802216
O01,S002,650,770,0.5745657835,0.5759473056,167.5331268
O01,S002,650,771,0.5759473056,0.5790592898,165.5813904
O01,S002,649,771,0.5790592898,0.5835527962,167.3794861
O01,S002,648,771,0.5835527962,0.5859753119,163.6524963
O01,S002,648,772,0.5859753119,0.5880463025,162.0193024
O01,S002,647,772,0.5880463025,0.5925398089,155.7318878
O01,S002,646,772,0.5925398089,0.5960033181,157.3869781
O01,S002,646,773,0.5960033181,0.5970333152,159.3117676
O01,S002,645,773,0.5970333152,0.6015268216,168.0858459
O01,S002,644,773,0.6015268216,0.6060203279,174.6072235
O01,S002,643,773,0.6060203279,0.6060313243,176.9471588
O01,S002,643,774,0.6060313243,0.6105138342,166.1547394
O01,S002,642,774,0.6105138342,0.6150073406,160.783493
O01,S002,641,774,0.6150073406,0.6160593305,161.1976318
O01,S002,641,775,0.6160593305,0.6195008469,163.3944702
O01,S002,640,775,0.6195008469,0.6239943533,167.1797943
O01,S002,639,775,0.6239943533,0.6260873367,182.5372772
O01,S002,639,776,0.6260873367,0.6284878596,183.7781982
O01,S002,638,776,0.6284878596,0.632981366,198.8767548
O01,S002,637,776,0.632981366,0.6361153429,204.1034851
O01,S002,637,777,0.6361153429,0.6374748723,203.0955658
O01,S002,636,777,0.6374748723,0.6419683787,194.8064423
O01,S002,635,777,0.6419683787,0.6461433491,190.6627655
O01,S002,635,778,0.6461433491,0.646461885,169.8383942
O01,S002,634,778,0.646461885,0.6509553913,169.9639893
O01,S002,633,778,0.6509553913,0.6554488977,166.9638824
O01,S002,632,778,0.6554488977,0.6561713554,168.8660736
O01,S002,632,779,0.6561713554,0.659942404,162.1167603
O01,S002,631,779,0.659942404,0.6644359104,164.8992767
O01,S002,630,779,0.6644359104,0.6661993616,168.8227692
O01,S002,630,780,0.6661993616,0.6689294167,165.9472351
O01,S002,629,780,0.6689294167,0.6734229231,170.3600159
O01,S002,628,780,0.6734229231,0.6762273678,174.8787384
O01,S002,628,781,0.6762273678,0.6779164294,164.4622192
O01,S002,627,781,0.6779164294,0.6824099358,160.6132202
O01,S002,626,781,0.6824099358,0.686255374,159.9751892
O01,S002,626,782,0.686255374,0.6869034421,167.8846893
O01,S002,625,782,0.6869034421,0.6913969484,165.9587097
O01,S002,624,782,0.6913969484,0.6958904548,163.0988922
O01,S002,623,782,0.6958904548,0.6962833802,171.898407
O01,S002,623,783,0.6962833802,0.7003839611,164.4802704
O01,S002,622,783,0.7003839611,0.7048774675,180.024704
O01,S002,621,783,0.7048774675,0.7063113864,199.8289185
O01,S002,621,784,0.7063113864,0.7093709738,193.0500031
O01,S002,620,784,0.7093709738,0.7138644802,208.776123
O01,S002,619,784,0.7138644802,0.7163393927,201.0069122
O01,S002,619,785,0.7163393927,0.7183579865,198.3441315
O01,S002,618,785,0.7183579865,0.7228514929,183.777832
O01,S002,617,785,0.7228514929,0.7263673989,179.1897278
O01,S002,617,786,0.7263673989,0.7273449992,165.3829498
O01,S002,616,786,0.7273449992,0.7318385055,164.0603638
O01,S002,615,786,0.7318385055,0.7363320119,166.3878479
O01,S002,614,786,0.7363320119,0.7363954051,166.422287
O01,S002,614,787,0.7363954051,0.7408255182,168.4255066
O01,S002,613,787,0.7408255182,0.7453190246,165.7638092
O01,S002,612,787,0.7453190246,0.7464234113,164.1071472
O01,S002,612,788,0.7464234113,0.7498125309,164.1750336
O01,S002,611,788,0.7498125309,0.7543060373,172.9511108
O01,S002,610,788,0.7543060373,0.7564514175,191.4077606
O01,S002,610,789,0.7564514175,0.7587995436,191.8412933
O01,S002,609,789,0.7587995436,0.7632930499,205.2860107
O01,S002,608,789,0.7632930499,0.7664794237,212.6934662
O01,S002,608,790,0.7664794237,0.7677865563,210.9479218
